"alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.64,0.8,0.8035,0.642,0.4055,0.3265,0.398,0.3155
0.64,0.82,0.782500000000001,0.7375,0.391,0.371,0.3915,0.3665
0.64,0.84,0.804,0.6645,0.402,0.336,0.402,0.3285
0.64,0.86,0.766,0.68,0.3885,0.3375,0.3775,0.3425
0.64,0.88,0.818,0.6705,0.4145,0.3365,0.4035,0.334
0.64,0.9,0.8175,0.679,0.414,0.3435,0.4035,0.3355
0.64,0.92,0.809,0.6775,0.407,0.334,0.402,0.3435
0.64,0.94,0.8205,0.6195,0.409,0.3125,0.4115,0.307
0.64,0.96,0.8435,0.671,0.415,0.327,0.4285,0.344
0.64,0.98,0.7865,0.7155,0.396,0.3625,0.3905,0.353
0.64,1,0.826,0.651,0.4095,0.3345,0.4165,0.3165
0.66,0.02,0.377,0.132,0.2305,0.052,0.1465,0.08
0.66,0.04,0.473,0.2255,0.2795,0.1155,0.1935,0.11
0.66,0.06,0.518,0.287,0.3,0.1405,0.218,0.1465
0.66,0.08,0.5295,0.308,0.2995,0.155,0.23,0.153
0.66,0.1,0.594,0.3905,0.32,0.187,0.274,0.2035
0.66,0.12,0.6415,0.437,0.336,0.217,0.3055,0.22
0.66,0.14,0.679,0.4365,0.352,0.2075,0.327,0.229
0.66,0.16,0.6355,0.4815,0.3385,0.239,0.297,0.2425
0.66,0.18,0.673,0.4775,0.3565,0.235,0.3165,0.2425
0.66,0.2,0.7005,0.461,0.361,0.2295,0.3395,0.2315
0.66,0.22,0.709,0.4875,0.371,0.2365,0.338,0.251
0.66,0.24,0.697,0.5415,0.3695,0.268,0.3275,0.2735
0.66,0.26,0.7305,0.577,0.376,0.2765,0.3545,0.3005
0.66,0.28,0.727,0.5705,0.3705,0.296,0.3565,0.2745
0.66,0.3,0.757,0.582,0.3845,0.2975,0.3725,0.2845
0.66,0.32,0.723,0.549,0.3705,0.2795,0.3525,0.2695
0.66,0.34,0.6995,0.629,0.3715,0.3045,0.328,0.3245
0.66,0.36,0.7655,0.4975,0.3935,0.2445,0.372,0.253
0.66,0.38,0.7675,0.62,0.394,0.3115,0.3735,0.3085
0.66,0.4,0.766,0.574,0.388,0.2995,0.378,0.2745
0.66,0.42,0.7255,0.5755,0.3725,0.283,0.353,0.2925
0.66,0.44,0.7645,0.6005,0.382,0.301,0.3825,0.2995
0.66,0.46,0.737,0.645,0.375,0.3205,0.362,0.3245
0.66,0.48,0.74,0.6375,0.3805,0.3175,0.3595,0.32
0.66,0.5,0.7665,0.652,0.388,0.3135,0.3785,0.3385
0.66,0.52,0.767,0.659,0.379,0.3295,0.388,0.3295
0.66,0.54,0.778,0.6665,0.392,0.337,0.386,0.3295
0.66,0.56,0.7435,0.643,0.38,0.3285,0.3635,0.3145
0.66,0.58,0.785,0.658,0.3985,0.328,0.3865,0.33
0.66,0.6,0.795,0.619,0.4065,0.3075,0.3885,0.3115
0.66,0.62,0.7665,0.656,0.3925,0.3285,0.374,0.3275
0.66,0.64,0.7765,0.6605,0.392,0.3405,0.3845,0.32
0.66,0.66,0.83,0.651,0.424,0.3295,0.406,0.3215
0.66,0.68,0.81,0.649,0.4055,0.3265,0.4045,0.3225
0.66,0.7,0.791,0.6745,0.396,0.3395,0.395,0.335
0.66,0.72,0.806,0.658,0.4085,0.3385,0.3975,0.3195
0.66,0.74,0.8235,0.663,0.4105,0.3255,0.413,0.3375
0.66,0.76,0.7695,0.705,0.396,0.3575,0.3735,0.3475
0.66,0.78,0.758,0.6975,0.381,0.3495,0.377,0.348
0.66,0.8,0.796,0.678,0.4015,0.334,0.3945,0.344
0.66,0.82,0.7815,0.679,0.402,0.34,0.3795,0.339
0.66,0.84,0.8095,0.6795,0.411,0.3355,0.3985,0.344
0.66,0.86,0.8605,0.622,0.4295,0.3155,0.431,0.3065
0.66,0.88,0.816,0.6925,0.4095,0.346,0.4065,0.3465
0.66,0.9,0.806,0.6835,0.4055,0.341,0.4005,0.3425
0.66,0.92,0.8225,0.649,0.416,0.3215,0.4065,0.3275
0.66,0.94,0.819,0.6735,0.4095,0.3435,0.4095,0.33
0.66,0.96,0.819,0.665,0.407,0.3365,0.412,0.3285
0.66,0.98,0.819,0.6865,0.4185,0.3405,0.4005,0.346
0.66,1,0.811,0.6955,0.4075,0.3495,0.4035,0.346
0.68,0.02,0.3925,0.0905,0.2425,0.0375,0.15,0.053
0.68,0.04,0.4665,0.244,0.2745,0.1155,0.192,0.1285
0.68,0.06,0.514,0.2875,0.2895,0.1395,0.2245,0.148
0.68,0.08,0.6,0.327,0.333,0.1575,0.267,0.1695
0.68,0.1,0.6295,0.3785,0.3335,0.18,0.296,0.1985
0.68,0.12,0.6085,0.396,0.326,0.187,0.2825,0.209
0.68,0.14,0.621,0.4315,0.3385,0.219,0.2825,0.2125
0.68,0.16,0.6285,0.478,0.3305,0.233,0.298,0.245
0.68,0.18,0.683,0.447,0.356,0.2165,0.327,0.2305
0.68,0.2,0.665,0.4595,0.353,0.234,0.312,0.2255
0.68,0.22,0.7095,0.4975,0.3615,0.2515,0.348,0.246
0.68,0.24,0.6915,0.535,0.3525,0.261,0.339,0.274
0.68,0.26,0.691,0.577,0.3535,0.286,0.3375,0.291
0.68,0.28,0.7135,0.523,0.363,0.256,0.3505,0.267
0.68,0.3,0.7295,0.6065,0.375,0.293,0.3545,0.3135
0.68,0.32,0.744,0.584,0.387,0.2905,0.357,0.2935
0.68,0.34,0.7635,0.6035,0.4015,0.298,0.362,0.3055
0.68,0.36,0.6855,0.5975,0.3615,0.299,0.324,0.2985
0.68,0.38,0.7685,0.5715,0.3925,0.2785,0.376,0.293
0.68,0.4,0.7085,0.6585,0.3625,0.3295,0.346,0.329
0.68,0.42,0.7675,0.6035,0.385,0.298,0.3825,0.3055
0.68,0.44,0.7405,0.5945,0.376,0.2845,0.3645,0.31
0.68,0.46,0.747,0.621,0.385,0.3115,0.362,0.3095
0.68,0.48,0.75,0.642,0.382,0.321,0.368,0.321
0.68,0.5,0.742,0.5385,0.379,0.2575,0.363,0.281
0.68,0.52,0.7575,0.598,0.384,0.302,0.3735,0.296
0.68,0.54,0.769,0.6925,0.3965,0.3505,0.3725,0.342
0.68,0.56,0.7535,0.6725,0.377,0.338,0.3765,0.3345
0.68,0.58,0.771,0.6585,0.3865,0.329,0.3845,0.3295
0.68,0.6,0.785,0.5815,0.399,0.297,0.386,0.2845
0.68,0.62,0.786,0.6565,0.401,0.337,0.385,0.3195
0.68,0.64,0.795,0.687,0.4005,0.3435,0.3945,0.3435
0.68,0.66,0.7875,0.6925,0.402,0.342,0.3855,0.3505
0.68,0.68,0.7395,0.725,0.379,0.3605,0.3605,0.3645
0.68,0.7,0.7905,0.653,0.3915,0.3295,0.399,0.3235
0.68,0.72,0.797,0.648,0.4085,0.3175,0.3885,0.3305
0.68,0.74,0.809,0.626,0.4045,0.321,0.4045,0.305
0.68,0.76,0.8025,0.6645,0.4015,0.332,0.401,0.3325
0.68,0.78,0.78,0.6725,0.3935,0.3325,0.3865,0.34
0.68,0.8,0.81,0.6945,0.405,0.35,0.405,0.3445
0.68,0.82,0.794,0.694,0.401,0.3465,0.393,0.3475
0.68,0.84,0.804,0.635,0.409,0.316,0.395,0.319
0.68,0.86,0.804,0.679,0.4065,0.3325,0.3975,0.3465
0.68,0.88,0.819,0.6825,0.409,0.346,0.41,0.3365
0.68,0.9,0.814,0.701,0.4125,0.344,0.4015,0.357
0.68,0.92,0.806,0.654,0.41,0.329,0.396,0.325
0.68,0.94,0.7875,0.7085,0.396,0.35,0.3915,0.3585
0.68,0.96,0.8215,0.6765,0.417,0.3325,0.4045,0.344
0.68,0.98,0.8135,0.633,0.4065,0.316,0.407,0.317
0.68,1,0.7855,0.722,0.3995,0.363,0.386,0.359
0.7,0.02,0.412,0.113,0.2615,0.052,0.1505,0.061
0.7,0.04,0.4635,0.2295,0.271,0.107,0.1925,0.1225
0.7,0.06,0.5405,0.2785,0.2875,0.131,0.253,0.1475
0.7,0.08,0.5835,0.362,0.323,0.1745,0.2605,0.1875
0.7,0.1,0.5865,0.4245,0.3285,0.2125,0.258,0.212
0.7,0.12,0.5635,0.434,0.3045,0.2105,0.259,0.2235
0.7,0.14,0.645,0.3925,0.344,0.193,0.301,0.1995
0.7,0.16,0.656,0.4655,0.342,0.227,0.314,0.2385
0.7,0.18,0.694,0.4775,0.3585,0.2495,0.3355,0.228
0.7,0.2,0.6755,0.5035,0.348,0.2525,0.3275,0.251
0.7,0.22,0.692,0.5415,0.363,0.2665,0.329,0.275
0.7,0.24,0.6815,0.5245,0.357,0.269,0.3245,0.2555
0.7,0.26,0.7195,0.5445,0.3695,0.275,0.35,0.2695
0.7,0.28,0.74,0.563,0.379,0.2785,0.361,0.2845
0.7,0.3,0.7415,0.562,0.3845,0.2735,0.357,0.2885
0.7,0.32,0.733,0.5435,0.3725,0.264,0.3605,0.2795
0.7,0.34,0.717,0.5335,0.3675,0.2585,0.3495,0.275
0.7,0.36,0.7445,0.532,0.389,0.26,0.3555,0.272
0.7,0.38,0.76,0.6205,0.3945,0.3115,0.3655,0.309
0.7,0.4,0.7545,0.5105,0.3865,0.2615,0.368,0.249
0.7,0.42,0.705,0.572,0.362,0.2835,0.343,0.2885
0.7,0.44,0.744,0.5855,0.376,0.296,0.368,0.2895
0.7,0.46,0.76,0.6295,0.384,0.3075,0.376,0.322
0.7,0.48,0.76,0.646,0.391,0.3265,0.369,0.3195
0.7,0.5,0.7715,0.6205,0.39,0.306,0.3815,0.3145
0.7,0.52,0.691,0.6975,0.355,0.3465,0.336,0.351
0.7,0.54,0.779999999999999,0.5945,0.3965,0.304,0.3835,0.2905
0.7,0.56,0.79,0.6285,0.404,0.31,0.386,0.3185
0.7,0.58,0.7985,0.604,0.407,0.3075,0.3915,0.2965
0.7,0.6,0.806,0.6345,0.4115,0.3145,0.3945,0.32
0.7,0.62,0.787,0.666,0.3965,0.3235,0.3905,0.3425
0.7,0.64,0.752,0.6665,0.392,0.326,0.36,0.3405
0.7,0.66,0.7925,0.6525,0.402,0.3275,0.3905,0.325
0.7,0.68,0.77,0.6625,0.387,0.3375,0.383,0.325
0.7,0.7,0.78,0.6525,0.389,0.329,0.391,0.3235
0.7,0.72,0.8075,0.6295,0.409,0.3165,0.3985,0.313
0.7,0.74,0.7945,0.626,0.4075,0.3195,0.387,0.3065
0.7,0.76,0.823,0.666,0.418,0.336,0.405,0.33
0.7,0.78,0.7675,0.69,0.3865,0.3465,0.381,0.3435
0.7,0.8,0.8355,0.615,0.4175,0.308,0.418,0.307
0.7,0.82,0.8175,0.675,0.4085,0.337,0.409,0.338
0.7,0.84,0.782,0.6915,0.39,0.357,0.392,0.3345
0.7,0.86,0.783,0.6755,0.3855,0.3395,0.3975,0.336
0.7,0.88,0.822,0.6425,0.4125,0.316,0.4095,0.3265
0.7,0.9,0.794,0.638,0.399,0.3215,0.395,0.3165
0.7,0.92,0.813,0.671,0.414,0.3435,0.399,0.3275
0.7,0.94,0.8385,0.6735,0.4255,0.3405,0.413,0.333
0.7,0.96,0.823,0.6945,0.415,0.344,0.408,0.3505
0.7,0.98,0.8165,0.6285,0.4115,0.3165,0.405,0.312
0.7,1,0.8025,0.6765,0.406,0.343,0.3965,0.3335
0.72,0.02,0.436,0.1215,0.2675,0.0585,0.1685,0.063
0.72,0.04,0.5355,0.2305,0.3015,0.1015,0.234,0.129
0.72,0.06,0.535,0.258,0.3005,0.1265,0.2345,0.1315
0.72,0.08,0.589,0.2815,0.3145,0.1375,0.2745,0.144
0.72,0.1,0.5805,0.355,0.32,0.1765,0.2605,0.1785
0.72,0.12,0.6105,0.3575,0.3255,0.171,0.285,0.1865
0.72,0.14,0.584,0.3985,0.314,0.195,0.27,0.2035
0.72,0.16,0.6925,0.4795,0.363,0.231,0.3295,0.2485
0.72,0.18,0.665,0.4325,0.349,0.207,0.316,0.2255
0.72,0.2,0.6635,0.4955,0.3465,0.2485,0.317,0.247
0.72,0.22,0.6985,0.5065,0.363,0.242,0.3355,0.2645
0.72,0.24,0.7165,0.4985,0.3785,0.2475,0.338,0.251
0.72,0.26,0.7455,0.552,0.381,0.2845,0.3645,0.2675
0.72,0.28,0.728,0.5585,0.3735,0.2815,0.3545,0.277
0.72,0.3,0.724,0.5225,0.37,0.2515,0.354,0.271
0.72,0.32,0.721,0.554,0.3665,0.2625,0.3545,0.2915
0.72,0.34,0.6875,0.621,0.355,0.305,0.3325,0.316
0.72,0.36,0.721499999999999,0.575,0.369,0.293,0.3525,0.282
0.72,0.38,0.7715,0.6015,0.3995,0.294,0.372,0.3075
0.72,0.4,0.7665,0.5525,0.394,0.273,0.3725,0.2795
0.72,0.42,0.731,0.6175,0.374,0.307,0.357,0.3105
0.72,0.44,0.771,0.6295,0.409,0.31,0.362,0.3195
0.72,0.46,0.771,0.616,0.3925,0.2945,0.3785,0.3215
0.72,0.48,0.7705,0.5615,0.3875,0.2775,0.383,0.284
0.72,0.5,0.749,0.576,0.3845,0.2795,0.3645,0.2965
0.72,0.52,0.766,0.5675,0.3955,0.2785,0.3705,0.289
0.72,0.54,0.738,0.6265,0.3795,0.3135,0.3585,0.313
0.72,0.56,0.7735,0.555,0.3935,0.2805,0.38,0.2745
0.72,0.58,0.7985,0.636,0.4055,0.3145,0.393,0.3215
0.72,0.6,0.7845,0.5995,0.4,0.2935,0.3845,0.306
0.72,0.62,0.807999999999999,0.647,0.4025,0.318,0.4055,0.329
0.72,0.64,0.7865,0.655,0.396,0.325,0.3905,0.33
0.72,0.66,0.7835,0.6575,0.4095,0.321,0.374,0.3365
0.72,0.68,0.799,0.6655,0.4045,0.3345,0.3945,0.331
0.72,0.7,0.7375,0.662,0.376,0.3295,0.3615,0.3325
0.72,0.72,0.7675,0.694,0.389,0.349,0.3785,0.345
0.72,0.74,0.7245,0.7105,0.374,0.352,0.3505,0.3585
0.72,0.76,0.783,0.61,0.4065,0.306,0.3765,0.304
0.72,0.78,0.81,0.642,0.4145,0.3265,0.3955,0.3155
0.72,0.8,0.826,0.625,0.4195,0.2995,0.4065,0.3255
0.72,0.82,0.8345,0.638,0.4245,0.3145,0.41,0.3235
0.72,0.84,0.763,0.664,0.386,0.325,0.377,0.339
0.72,0.86,0.795,0.6525,0.3975,0.325,0.3975,0.3275
0.72,0.88,0.822,0.665,0.4155,0.3335,0.4065,0.3315
0.72,0.9,0.7795,0.707,0.3875,0.3605,0.392,0.3465
0.72,0.92,0.8165,0.663,0.4115,0.3295,0.405,0.3335
0.72,0.94,0.8255,0.645,0.4085,0.3195,0.417,0.3255
0.72,0.96,0.808,0.688,0.4005,0.349,0.4075,0.339
0.72,0.98,0.8325,0.6665,0.417,0.334,0.4155,0.3325
0.72,1,0.813,0.685,0.4105,0.3405,0.4025,0.3445
0.74,0.02,0.399,0.0965,0.2375,0.0425,0.1615,0.054
0.74,0.04,0.4255,0.198,0.254,0.093,0.1715,0.105
0.74,0.06,0.494,0.25,0.274,0.121,0.22,0.129
0.74,0.08,0.5445,0.338,0.3015,0.1585,0.243,0.1795
0.74,0.1,0.592,0.3415,0.32,0.1675,0.272,0.174
0.74,0.12,0.6145,0.3855,0.3335,0.1985,0.281,0.187
0.74,0.14,0.634,0.455,0.3385,0.223,0.2955,0.232
0.74,0.16,0.627,0.4345,0.3365,0.21,0.2905,0.2245
0.74,0.18,0.619,0.503,0.323,0.248,0.296,0.255
0.74,0.2,0.6745,0.4315,0.3575,0.2145,0.317,0.217
0.74,0.22,0.6895,0.4685,0.365,0.2385,0.3245,0.23
0.74,0.24,0.6825,0.5805,0.361,0.284,0.3215,0.2965
0.74,0.26,0.6905,0.5635,0.365,0.2745,0.3255,0.289
0.74,0.28,0.728,0.543,0.3745,0.2695,0.3535,0.2735
0.74,0.3,0.7375,0.5315,0.3735,0.27,0.364,0.2615
0.74,0.32,0.741,0.578,0.382,0.286,0.359,0.292
0.74,0.34,0.7485,0.5315,0.3835,0.265,0.365,0.2665
0.74,0.36,0.7,0.6155,0.354,0.3025,0.346,0.313
0.74,0.38,0.751,0.6005,0.388,0.2945,0.363,0.306
0.74,0.4,0.7525,0.616,0.388,0.311,0.3645,0.305
0.74,0.42,0.7735,0.519,0.386,0.2625,0.3875,0.2565
0.74,0.44,0.772,0.6115,0.397,0.306,0.375,0.3055
0.74,0.46,0.7655,0.5685,0.3925,0.2975,0.373,0.271
0.74,0.48,0.7665,0.558,0.39,0.278,0.3765,0.28
0.74,0.5,0.771,0.608,0.393,0.304,0.378,0.304
0.74,0.52,0.776,0.625,0.398,0.3075,0.378,0.3175
0.74,0.54,0.791,0.565,0.4005,0.274,0.3905,0.291
0.74,0.56,0.7585,0.5965,0.383,0.3,0.3755,0.2965
0.74,0.58,0.7725,0.6085,0.3855,0.297,0.387,0.3115
0.74,0.6,0.7625,0.63,0.3835,0.314,0.379,0.316
0.74,0.62,0.7955,0.608,0.4095,0.3035,0.386,0.3045
0.74,0.64,0.7665,0.6295,0.3865,0.3085,0.38,0.321
0.74,0.66,0.7825,0.6865,0.3965,0.3405,0.386,0.346
0.74,0.68,0.811,0.659,0.409,0.325,0.402,0.334
0.74,0.7,0.782,0.6595,0.3935,0.325,0.3885,0.3345
0.74,0.72,0.8155,0.6495,0.4,0.327,0.4155,0.3225
0.74,0.74,0.812,0.6395,0.414,0.3195,0.398,0.32
0.74,0.76,0.8075,0.637,0.4055,0.3285,0.402,0.3085
0.74,0.78,0.766,0.676,0.3815,0.3325,0.3845,0.3435
0.74,0.8,0.8155,0.6775,0.4135,0.333,0.402,0.3445
0.74,0.82,0.8075,0.5285,0.399,0.26,0.4085,0.2685
0.74,0.84,0.805,0.6365,0.411,0.3235,0.394,0.313
0.74,0.86,0.822499999999999,0.635,0.415,0.319,0.4075,0.316
0.74,0.88,0.7905,0.654,0.388,0.327,0.4025,0.327
0.74,0.9,0.7715,0.688,0.3905,0.339,0.381,0.349
0.74,0.92,0.7995,0.7015,0.3995,0.356,0.4,0.3455
0.74,0.94,0.778,0.671,0.3895,0.333,0.3885,0.338
0.74,0.96,0.793,0.6515,0.401,0.329,0.392,0.3225
0.74,0.98,0.8135,0.655,0.407,0.3325,0.4065,0.3225
0.74,1,0.774,0.712,0.3935,0.352,0.3805,0.36
0.76,0.02,0.3815,0.107,0.2465,0.0555,0.135,0.0515
0.76,0.04,0.4495,0.222,0.264,0.109,0.1855,0.113
0.76,0.06,0.5195,0.2795,0.293,0.132,0.2265,0.1475
0.76,0.08,0.574,0.3125,0.309,0.151,0.265,0.1615
0.76,0.1,0.594,0.325,0.327,0.161,0.267,0.164
0.76,0.12,0.6335,0.3265,0.342,0.155,0.2915,0.1715
0.76,0.14,0.6235,0.447,0.3295,0.2255,0.294,0.2215
0.76,0.16,0.6325,0.4445,0.3325,0.2215,0.3,0.223
0.76,0.18,0.669,0.4635,0.3515,0.219,0.3175,0.2445
0.76,0.2,0.7045,0.4785,0.367,0.2425,0.3375,0.236
0.76,0.22,0.6545,0.4295,0.3385,0.209,0.316,0.2205
0.76,0.24,0.686,0.516,0.3565,0.2615,0.3295,0.2545
0.76,0.26,0.707,0.4535,0.3675,0.229,0.3395,0.2245
0.76,0.28,0.6955,0.5945,0.365,0.2935,0.3305,0.301
0.76,0.3,0.644,0.5835,0.3445,0.2965,0.2995,0.287
0.76,0.32,0.7445,0.5565,0.378,0.2795,0.3665,0.277
0.76,0.34,0.7005,0.562,0.3655,0.27,0.335,0.292
0.76,0.36,0.7695,0.591,0.3895,0.298,0.38,0.293
0.76,0.38,0.7545,0.531,0.3855,0.2665,0.369,0.2645
0.76,0.4,0.7715,0.5605,0.3975,0.2905,0.374,0.27
0.76,0.42,0.736,0.6255,0.384,0.306,0.352,0.3195
0.76,0.44,0.7385,0.614,0.3835,0.307,0.355,0.307
0.76,0.46,0.7535,0.575,0.39,0.2795,0.3635,0.2955
0.76,0.48,0.708,0.605,0.3685,0.3,0.3395,0.305
0.76,0.5,0.7435,0.6245,0.386,0.3095,0.3575,0.315
0.76,0.52,0.693,0.6755,0.3585,0.3455,0.3345,0.33
0.76,0.54,0.769,0.5625,0.3945,0.284,0.3745,0.2785
0.76,0.56,0.746,0.603,0.3795,0.2985,0.3665,0.3045
0.76,0.58,0.754,0.621,0.387,0.306,0.367,0.315
0.76,0.6,0.7785,0.5325,0.393,0.2585,0.3855,0.274
0.76,0.62,0.7055,0.662,0.361,0.331,0.3445,0.331
0.76,0.64,0.801,0.624,0.4095,0.3145,0.3915,0.3095
0.76,0.66,0.7945,0.592,0.3965,0.2915,0.398,0.3005
0.76,0.68,0.7955,0.6435,0.402,0.305,0.3935,0.3385
0.76,0.7,0.7475,0.6215,0.383,0.3135,0.3645,0.308
0.76,0.72,0.7875,0.663,0.399,0.327,0.3885,0.336
0.76,0.74,0.7545,0.6905,0.3875,0.337,0.367,0.3535
0.76,0.76,0.8025,0.639,0.402,0.323,0.4005,0.316
0.76,0.78,0.7175,0.6955,0.3675,0.341,0.35,0.3545
0.76,0.8,0.802,0.655,0.4015,0.3235,0.4005,0.3315
0.76,0.82,0.811,0.6,0.4105,0.3005,0.4005,0.2995
0.76,0.84,0.788,0.6705,0.395,0.339,0.393,0.3315
0.76,0.86,0.794,0.632,0.402,0.315,0.392,0.317
0.76,0.88,0.78,0.6615,0.3995,0.3375,0.3805,0.324
0.76,0.9,0.8055,0.7225,0.404,0.356,0.4015,0.3665
0.76,0.92,0.8055,0.6835,0.4005,0.337,0.405,0.3465
0.76,0.94,0.7965,0.658,0.389,0.3345,0.4075,0.3235
0.76,0.96,0.8345,0.6405,0.414,0.3255,0.4205,0.315
0.76,0.98,0.818,0.703,0.405,0.353,0.413,0.35
0.76,1,0.797,0.7,0.4045,0.3515,0.3925,0.3485
0.78,0.02,0.4035,0.1155,0.2435,0.0515,0.16,0.064
0.78,0.04,0.4655,0.2175,0.2625,0.095,0.203,0.1225
0.78,0.06,0.5095,0.261,0.296,0.125,0.2135,0.136
0.78,0.08,0.5295,0.3185,0.2885,0.1355,0.241,0.183
0.78,0.1,0.5895,0.3545,0.324,0.1705,0.2655,0.184
0.78,0.12,0.579,0.3745,0.3035,0.18,0.2755,0.1945
0.78,0.14,0.641,0.4135,0.343,0.1985,0.298,0.215
0.78,0.16,0.6225,0.4605,0.333,0.227,0.2895,0.2335
0.78,0.18,0.6755,0.4505,0.35,0.224,0.3255,0.2265
0.78,0.2,0.6485,0.505,0.3495,0.255,0.299,0.25
0.78,0.22,0.716,0.5235,0.3745,0.2625,0.3415,0.261
0.78,0.24,0.7185,0.499,0.3735,0.2565,0.345,0.2425
0.78,0.26,0.677,0.5225,0.3525,0.254,0.3245,0.2685
0.78,0.28,0.705,0.575,0.364,0.288,0.341,0.287
0.78,0.3,0.7275,0.537,0.3795,0.266,0.348,0.271
0.78,0.32,0.7225,0.5205,0.3655,0.253,0.357,0.2675
0.78,0.34,0.747,0.526,0.378,0.256,0.369,0.27
0.78,0.36,0.7085,0.577,0.3645,0.286,0.344,0.291
0.78,0.38,0.7305,0.5685,0.3675,0.2865,0.363,0.282
0.78,0.4,0.735,0.6245,0.3745,0.31,0.3605,0.3145
0.78,0.42,0.7425,0.5535,0.375,0.278,0.3675,0.2755
0.78,0.44,0.759,0.605,0.3885,0.3025,0.3705,0.3025
0.78,0.46,0.7335,0.619,0.3685,0.3085,0.365,0.3105
0.78,0.48,0.7675,0.595,0.3915,0.3025,0.376,0.2925
0.78,0.5,0.707,0.63,0.36,0.3155,0.347,0.3145
0.78,0.52,0.758,0.5865,0.3945,0.2895,0.3635,0.297
0.78,0.54,0.742,0.5855,0.3845,0.2765,0.3575,0.309
0.78,0.56,0.78,0.6175,0.4025,0.314,0.3775,0.3035
0.78,0.58,0.75,0.6675,0.377,0.339,0.373,0.3285
0.78,0.6,0.715,0.6605,0.366,0.3305,0.349,0.33
0.78,0.62,0.7675,0.6775,0.3915,0.3365,0.376,0.341
0.78,0.64,0.7705,0.613,0.3915,0.3035,0.379,0.3095
0.78,0.66,0.81,0.62,0.415,0.311,0.395,0.309
0.78,0.68,0.77,0.649,0.396,0.318,0.374,0.331
0.78,0.7,0.745,0.648,0.3835,0.325,0.3615,0.323
0.78,0.72,0.8145,0.601,0.411,0.304,0.4035,0.297
0.78,0.74,0.7695,0.6665,0.3935,0.3275,0.376,0.339
0.78,0.76,0.76,0.6815,0.3905,0.342,0.3695,0.3395
0.78,0.78,0.794,0.6545,0.4055,0.3215,0.3885,0.333
0.78,0.8,0.794,0.66,0.4005,0.3235,0.3935,0.3365
0.78,0.82,0.8105,0.611,0.404,0.295,0.4065,0.316
0.78,0.84,0.763,0.688,0.389,0.3435,0.374,0.3445
0.78,0.86,0.8095,0.634,0.4085,0.31,0.401,0.324
0.78,0.88,0.799,0.6605,0.408,0.334,0.391,0.3265
0.78,0.9,0.803,0.6775,0.3935,0.3515,0.4095,0.326
0.78,0.92,0.811,0.6735,0.41,0.3345,0.401,0.339
0.78,0.94,0.7935,0.6795,0.3945,0.334,0.399,0.3455
0.78,0.96,0.8205,0.6185,0.4125,0.311,0.408,0.3075
0.78,0.98,0.796,0.6745,0.3995,0.3395,0.3965,0.335
0.78,1,0.8,0.678,0.393,0.3445,0.407,0.3335
0.8,0.02,0.363,0.0885,0.2185,0.034,0.1445,0.0545
0.8,0.04,0.4665,0.212,0.264,0.097,0.2025,0.115
0.8,0.06,0.511,0.26,0.292,0.1275,0.219,0.1325
0.8,0.08,0.559,0.2865,0.3025,0.133,0.2565,0.1535
0.8,0.1,0.6085,0.3305,0.327,0.152,0.2815,0.1785
0.8,0.12,0.5905,0.4185,0.314,0.21,0.2765,0.2085
0.8,0.14,0.619,0.472,0.329,0.232,0.29,0.24
0.8,0.16,0.676,0.452,0.359,0.215,0.317,0.237
0.8,0.18,0.6165,0.486,0.315,0.2355,0.3015,0.2505
0.8,0.2,0.6865,0.446,0.359,0.229,0.3275,0.217
0.8,0.22,0.6465,0.439,0.341,0.2195,0.3055,0.2195
0.8,0.24,0.6955,0.561,0.364,0.2785,0.3315,0.2825
0.8,0.26,0.707,0.5185,0.362,0.2645,0.345,0.254
0.8,0.28,0.7025,0.5405,0.3565,0.2745,0.346,0.266
0.8,0.3,0.734,0.5345,0.3745,0.2635,0.3595,0.271
0.8,0.32,0.7215,0.51,0.386,0.25,0.3355,0.26
0.8,0.34,0.7405,0.522,0.3745,0.263,0.366,0.259
0.8,0.36,0.7355,0.6005,0.38,0.301,0.3555,0.2995
0.8,0.38,0.7325,0.5765,0.3795,0.291,0.353,0.2855
0.8,0.4,0.7295,0.594,0.373,0.2935,0.3565,0.3005
0.8,0.42,0.7595,0.6165,0.392,0.3085,0.3675,0.308
0.8,0.44,0.762,0.568,0.3855,0.2885,0.3765,0.2795
0.8,0.46,0.7225,0.5585,0.3775,0.2825,0.345,0.276
0.8,0.48,0.737,0.6135,0.377,0.307,0.36,0.3065
0.8,0.5,0.739,0.582,0.375,0.2905,0.364,0.2915
0.8,0.52,0.7755,0.598,0.394,0.291,0.3815,0.307
0.8,0.54,0.7685,0.6015,0.3935,0.2995,0.375,0.302
0.8,0.56,0.7895,0.5895,0.403,0.31,0.3865,0.2795
0.8,0.58,0.764,0.62,0.387,0.313,0.377,0.307
0.8,0.6,0.7445,0.653,0.3715,0.3245,0.373,0.3285
0.8,0.62,0.759,0.617,0.388,0.304,0.371,0.313
0.8,0.64,0.823,0.5425,0.413,0.2695,0.41,0.273
0.8,0.66,0.816,0.5685,0.4125,0.286,0.4035,0.2825
0.8,0.68,0.7805,0.637,0.4055,0.3255,0.375,0.3115
0.8,0.7,0.736,0.6955,0.3835,0.35,0.3525,0.3455
0.8,0.72,0.78,0.6505,0.3885,0.3215,0.3915,0.329
