"alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.16,0.7,0.8115,0.704,0.406,0.349,0.4055,0.355
0.16,0.72,0.8145,0.714,0.4095,0.3595,0.405,0.3545
0.16,0.74,0.829,0.7145,0.4095,0.3605,0.4195,0.354
0.16,0.76,0.817,0.7095,0.405,0.3565,0.412,0.353
0.16,0.78,0.8345,0.6925,0.4155,0.339,0.419,0.3535
0.16,0.8,0.8235,0.71,0.4175,0.3485,0.406,0.3615
0.16,0.82,0.829,0.706,0.411,0.3535,0.418,0.3525
0.16,0.84,0.8295,0.698,0.4155,0.3495,0.414,0.3485
0.16,0.86,0.8465,0.7085,0.4285,0.3465,0.418,0.362
0.16,0.88,0.836,0.708,0.4235,0.354,0.4125,0.354
